name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
Astral Body Base,9,5 7 5 3 5 7,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyAstral\BODY- ASTRAL BODY BASE - SB - QRP - Base 9 (336) copy 6.afdesign
Astral Body Heart,9,5 6 5 1 6 5,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyAstral\BODY- ASTRAL BODY HEART - SB - QRP - Base 9 (336) copy 4.afdesign
Astral Body Permanent Atom,9,6 2 2 3 4,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyAstral\BODY- ASTRAL BODY PERMANENT ATOM - SB - QRP - Base 9 (336).afdesign
Astral Body Sacral,9,5 7 8 5 1 8,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyAstral\BODY- ASTRAL BODY SACRAL - SB - QRP - Base 9 (336) copy 2.afdesign
Astral Body Solar Plexus,9,5 3 8 4 9 2,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyAstral\BODY- ASTRAL BODY SOLAR PLEXUS - SB - QRP - Base 9 (336) copy.afdesign
Astral Body Spleen,9,5 6 3 6 1 3,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyAstral\BODY- ASTRAL BODY SPLEEN - SB - QRP - Base 9 (336).afdesign
Astral Body Throat,9,5 1 6 9 5 8,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyAstral\BODY- ASTRAL BODY THROAT - SB - QRP - Base 9 (336) copy 3.afdesign
Skeletal,9,6 3 1 5 6 4 7,Combe,Body / Br 23.,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyBR\BR 23 - Body - Skeletal- Template Card - QRP - Base 9 (336).afdesign
Depression,9,3 9 8 8 3 4 8,Combe,Mind / BR 3,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyBR\BR 3- DEPRESSION - Mind - QRP - Base 9 (336).afdesign
Fear,9,2 6 1 6 3 7 7,Combe,Mind / BR. 4,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyBR\BR 4. FEAR - Mind - QRP - Base 9 (336).afdesign
Br 5. Heart,9,9 6 8 7 2 5,Combe,Mind / BR 6,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyBR\BR 5. HEART - BC - Base 44 .afdesign
Br 5. Heart,44,20 24 26 27 30,Combe,Mind / BR 6,Base 44 Rate (Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyBR\BR 5. HEART - BC - Base 9 (336).afdesign
Hysteria,9,9 9 3 6 3 4 7,Combe,Mind / BR 6,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyBR\BR 6. HYSTERIA - Mind - QRP - Base 9 (336).afdesign
Stress,9,1 5 5 3 9 2 7,Combe,Mind / Br.,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyBR\BR 7. STRESS - Mind - QRP - Base 9 (336).afdesign
Ether 1st,9,2 4 3 7 7,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyEther\BODY- ETHER 1ST - SB - QRP - Base 9 (336) copy.afdesign
Ether 2nd,9,2 1 9 9 3,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyEther\BODY- ETHER 2ND - SB - QRP - Base 9 (336).afdesign
Ether 3rd,9,2 3 2 8 6,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyEther\BODY- ETHER 3RD - SB - QRP - Base 9 (336) copy.afdesign
Ether 4th,9,2 5 4 8 1,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyEther\BODY- ETHER 4TH - SB - QRP - Base 9 (336) copy 2.afdesign
Etheric Body,9,2 4 9 5 2,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyEther\BODY- ETHERIC BODY - SB - QRP - Base 9 (336) copy 4.afdesign
Stomach,9,6 7 4 9 9 8,Combe,Body / GI,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyGI\Body - GI - STOMACH - QRP - Base 9 (336).afdesign
Stomach,9,,Combe,Body / GI,Base 9 Rate (336 - Combe),,blank-template,blank-template,Affinity\Body Mental Astral et Etheric Physcial\BodyGI\Body - STOMACH - QRP - Base 9 (336).afdesign
Spleen,9,1 6 8 4 8 9,Combe,Body / Lymphatic,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyLymph\BODY - LYMPHATIC - SPLEEN- QRP - Base 9 (336).afdesign
Mental Astral P. Ether. Body,9,1 6 7 5 8 2 2,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL ASTRAL P.ETHER.BODY - SB - QRP - Base 9 (336) copy 6.afdesign
Mental Body Solar Plexus,9,1 7 6 9 1 6,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL BODY  SOLAR PLEXUS - SB - QRP - Base 9 (336).afdesign
Mental Body Solar Plexus,9,1 7 6 9 1 6,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL BODY  SOLAR PLEXUS.afdesign
Mental Body,9,4 6 3 6 9 1,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL BODY - SB - QRP - Base 9 (336) copy.afdesign
Mental Body Base,9,1 6 5 5 7 6,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL BODY BASE - SB - QRP - Base 9 (336) copy 5.afdesign
Mental Body Sacral,9,1 8 2 7 4 4,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL BODY SACRAL - SB - QRP - Base 9 (336).afdesign
Mental Body Spleen,9,1 4 1 4 9 1,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL BODY SPLEEN - SB - QRP - Base 9 (336) copy 6.afdesign
Mental Unit,9,7 6 6 1,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL UNIT - SB - QRP - Base 9 (336) copy 8.afdesign
Phys. Etheric Ajna - Crown,9,4 1 2 8 3 9,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyPhysical Etheric\BODY- PHYS. ETHERIC AJNA-CROWN - SB - QRP - Base 9 (336) copy.afdesign
Phys. Ether Permanent Atom,9,6 9 5 6 4 3,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyPhysical Etheric\BODY- PHYS.ETHER PERMANENT ATOM - SB - QRP - Base 9 (336) copy 4.afdesign
Phys. Etheric Solar Plexus,9,4 8 2 4 1 1,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyPhysical Etheric\BODY- PHYS.ETHERIC SOLAR PLEXUS - SB - QRP - Base 9 (336) copy 6.afdesign
Physical Etheric Base,9,4 6 6 6 7 2,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyPhysical Etheric\BODY- PHYSICAL ETHERIC BASE - SB - QRP - Base 9 (336).afdesign
Physical Etheric Body,9,9 6 3 2 9 2,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyPhysical Etheric\BODY- PHYSICAL ETHERIC BODY - SB - QRP - Base 9 (336) copy 2.afdesign
Physical Etheric Heart,9,4 3 3 5 2 8,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyPhysical Etheric\BODY- PHYSICAL ETHERIC HEART - SB - QRP - Base 9 (336) copy 8.afdesign
Physical Etheric Sacral,9,4 4 5 7 4 6,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyPhysical Etheric\BODY- PHYSICAL ETHERIC SACRAL - SB - QRP - Base 9 (336) copy 5.afdesign
Mental Body Solar Plexus,9,1 7 6 9 1 6,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyPhysical Etheric\BODY- PHYSICAL ETHERIC SPLEEN - SB - QRP - Base 9 (336) copy 7.afdesign
Physical Etheric Spleen,9,4 1 3 7 2 8,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),,,duplicate,Affinity\Body Mental Astral et Etheric Physcial\BodyPhysical Etheric\BODY- PHYSICAL ETHERIC SPLEEN - SB - QRP - Base 9 (336) copy 9.afdesign
Lumbago,9,1 9 5 4 4 5,Combe,Body / Skeletal,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodySkeletal\Body - Skeletal - LUMBAGO - Template Card - QRP - Base 9 (336).afdesign
Lumbar Vertebrae,9,1 9 5 4 4 5,Combe,Body / Skeletal,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodySkeletal\Body - Skeletal - LUMBAR VERTEBRAE - Template Card - QRP - Base 9 (336).afdesign
Skeletal,9,,Combe,Body / Br 23.,Base 9 Rate (336 - Combe),,blank-template,blank-template,Affinity\Body Mental Astral et Etheric Physcial\BodySkeletal\Body - Skeletal- Template Card - QRP - Base 9 (336).afdesign
Lumbar Vertebrae,9,1 9 5 4 4 5,Combe,Body / Skeletal,Base 9 Rate (336 - Combe),,,duplicate,Affinity\Body Mental Astral et Etheric Physcial\BodySkeletal\Body Skeletal - LUMBAR VERTEBRAE - Template Card - QRP - Base 9 (336).afdesign
