name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
Mental Base Chakra,9,5 8 6 9 9 1,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL BASE CHAKRA - SB - QRP - Base 9 (336) copy 3.afdesign
Mental Sacral Chakra,9,5 9 7 8 1 3,Combe,Subtle Body / Uplift,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL SACRAL CHAKRA - SB - QRP - Base 9 (336) copy 2.afdesign
Mental Solar Plexus Chakra,9,5 1 3 5 7 3,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Body Mental Astral et Etheric Physcial\BodyMental\BODY- MENTAL SOLAR PLEXUS CHAKRA - SB - QRP - Base 9 (336) copy 4.afdesign
Heal Memories Karmic,9,3 6 7 7 9 5,Combe,SUBTLE BODY/CHAKRA,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\HEAL MEMORIES KARMIC - SB - CHAKRA - QRP - Base 9 (336) copy 2.afdesign
Heal Memories Karmic,9,3 6 7 7 9 5,Combe,SUBTLE BODY/CHAKRA,Base 9 Rate (336 - Combe),,,duplicate,Affinity\Subtle Bodies\All subtle to sort\HEAL MEMORIES KARMIC - SB - CHAKRA - QRP - Base 9 (336) copy 6.afdesign
Heal Memories Post Birth,9,4 3 6 5 8 8,Combe,SUBTLE BODY/CHAKRA,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\HEAL MEMORIES POST BIRTH - SB - CHAKRA - QRP - Base 9 (336) copy 2.afdesign
Heal Memories Pre Birth,9,3 7 9 8 9 9,Combe,SUBTLE BODY/CHAKRA,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\HEAL MEMORIES PRE BIRTH - SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Ingrown Entities,9,4 1 3 9 8,Combe,SUBTLE BODY/CHAKRA,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\INGROWN ENTITIES - SB - CHAKRA - QRP - Base 9 (336) copy 6.afdesign
Intense White Light,9,5 7 9 9 3,Combe,SUBTLE BODY/CHAKRA,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\INTENSE WHITE LIGHT - SB - CHAKRA - QRP - Base 9 (336) copy 5.afdesign
Karmic Origin Disease,9,2 3 9 2 6 4,Combe,SUBTLE BODY/CHAKRA,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\KARMIC ORIGIN DISEASE - SB - CHAKRA - QRP - Base 9 (336) copy 3.afdesign
Ajna Chakra,9,9 2 9 4 9 6,Combe,Chakra,Base 9 Rate (336 - Combe),embedded-preview,multi-rate(2),,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - AJNA - Base 9 (336)\- Base 9 (336).afdesign
Ajna (Brow) Chakra,9,,Sulis,Chakra,Base 9 Rate (336 - Combe),,blank-template,blank-template,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - AJNA - Base 9 (336)\Ajna (Brow) Chakra - SOUL - Subtle Body - Base 9 (336) SULIS.afdesign
Ajna Chakra,9,9 2 9 4 9 6,Combe,Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - AJNA - Base 9 (336)\Ajna - Chakra   9 2 9 4 9 6 - Base 9 (336).afdesign
Ajna Chakra Astral Body,9,4 5 9 7 1 8,Combe,Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - AJNA - Base 9 (336)\Ajna Chakra Astral Body - Chakra - Base 9 (336).afdesign
