name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
Altruism,9,5 5 5 9 3 9,Combe,Mind State / Attitudes,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Attitudes\ALTRUISM - Mind StateAttitude - BC - Base 9 (336) copy.afdesign
Harmlessness,9,6 7 1 6 2,Combe,Mind State/Attitudes,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Attitudes\HARMLESSNESS - Mind StateAttitude - BC - Base 9 (336) copy.afdesign
Hope,44,19 22 37 40,Combe,Mind State / Attitude,Base 44 Rate (Combe),jpg-twin,,,Mind All\Attitudes\HOPE - Mind StateAttitude - BC - Base 44 .afdesign
Hopelessness,44,19 22 37 40,Combe,Mind State / Attitude,Base 44 Rate (Combe),jpg-twin,,,Mind All\Attitudes\HOPELESNESS - Mind StateATTITUDE - BC - Base 44 .afdesign
Lack of Confidence,44,35 38 40 42,Combe,Soham,Base 44 Rate (Combe),jpg-twin,,,Mind All\Confidence\LACK OF CONFIDENCE - SOHAM - Base 9 (336) copy.afdesign
Lack of Confidence,9,7 9 9 2 9,Combe,Soham,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Confidence\LACK OF CONFIDENCE - SOHAM - Base 9 (336).afdesign
Intellect,9,4 5 7 9 3 1,Combe,Mental,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mental\INTELLECT - Mental - Base 9 (336).afdesign
Intellectual Confusion,9,5 1 3 3 5 8,Combe,Mental,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mental\INTELLECTUAL CONFUSION - Mental - Base 9 (336).afdesign
Intelligence,9,5 1 4 2 6 9,Combe,Mental,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mental\INTELLIGENCE - Mental - Base 9 (336).afdesign
Intense Mental Concentration,9,1 5 8 9 5,Combe,Mental,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mental\INTENSE MENTAL CONCENTRATION  - Mental - Base 9 (336).afdesign
Acceptance,9,4 5 7 1 7 6,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\ACCEPTANCE - MIND  - QRP - Base 9 (336) copy.afdesign
Achievement,9,6 9 8 4 2 2,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\ACHIEVEMENT - MIND  - QRP - Base 9 (336) copy 2.afdesign
Adaptability,9,4 6 2 9 9 4 7,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\ADAPTABILITY - MIND  - QRP - Base 9 (336) copy 4.afdesign
Adjust,9,3 8 2 7 6 8,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\ADJUST - MIND  - QRP - Base 9 (336).afdesign
Aggressiveness,9,8 4 3 9 7 4,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\AGGRESSIVENESS - MIND  - QRP - Base 9 (336) copy.afdesign
Agoraphobia,9,2 3 9 2 8 6,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\AGORAPHOBIA - MIND  - QRP - Base 9 (336) copy 4.afdesign
Alienation,9,8 2 6 9 5 3,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\ALIENATION - MIND  - QRP - Base 9 (336) copy 3.afdesign
Altruism,9,5 5 5 9 3 9,Combe,MIND,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\ALTRUISM - MIND  - QRP - Base 9 (336).afdesign
Amnesia,9,5 7 8 2 7 2,Combe,MIND,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\AMNESIA - MIND  - QRP - Base 9 (336) copy.afdesign
Anger,9,4 8 5 5 9 4,Combe,MIND,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\ANGER - MIND  - QRP - Base 9 (336) copy 2.afdesign
Angst,9,6 7 5 8 5 4,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\ANGST - MIND  - QRP - Base 9 (336) copy 4.afdesign
Insecurity,9,6 4 7 8,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\Mind - Insecurity - QRP - Base 9 (336) 2.afdesign
Worry,9,2 5 4 7 5 5,Combe,Mind,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind All to sort\Mind - Worry - Template Card - QRP - Base 9 (336) 2.afdesign
Worry to Trust Transmuter,9,3 4 8 2 9 8,Combe,Mind,Base 9 Rate (336 - Combe),embedded-preview,,,Mind All\Mind All to sort\Mind - WORRY TO TRUST TRANSMUTER - Template Card - QRP - Base 9 (336) 2.afdesign
Focus,9,5 7 3 2 9,Combe,Mind State,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Mind States\FOCUS - Mind States - BC - Base 9 (336)  copy 2.afdesign
Harmony,9,,Combe,Mind State,Base 9 Rate (336 - Combe),,blank-template,blank-template,Mind All\Mind States\HARMONY - Mind States - BC - Base 9 (336)  copy 2.afdesign
Honesty,44,6 26 35 38 40,Combe,Mind State / Principles,Base 44 Rate (Combe),jpg-twin,,,Mind All\Principles\HONESTY Mind StatesPrinciples - BC - Base 44 .afdesign
Honesty,9,3 3 4 9 8 9,Combe,Mind State/Principles,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Principles\HONESTY- Mind StatesPrinciples - BC - Base 9.afdesign
Stress,44,27 32 34 37,Combe,Soham,Base 44 Rate (Combe),jpg-twin,,,Mind All\Stress\STRESS - SOHAM - Base 9 (336) copy.afdesign
Stress,9,7 3 2 6 9,Combe,Soham,Base 9 Rate (336 - Combe),jpg-twin,,,Mind All\Stress\STRESS - SOHAM - Base 9 (336).afdesign
