name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
Staphylococcus,44,1 1 9 22 33,Combe,,Base 44 Rate (Combe),embedded-preview,,,Affinity\Human Physiology  Anatomical Systems\Bacteria infection\STAPHYLOCOCCUS - Bacteria infection - Base 44 .afdesign
Cancerous Tissue,9,2 4 8 2 7,Combe,,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Human Physiology  Anatomical Systems\Cancer\CANCEROUS TISSUE - Base 9 .afdesign
Bone,44,21 33 41 43,Combe,,Base 44 Rate (Combe),embedded-preview,,,Affinity\Human Physiology  Anatomical Systems\Skeletal System Card Packs\Bones - Anatomical  Skeletal - Base 44 .afdesign
Om,44,15 30 44,Combe,Mantra,Base 44 Rate (Combe),embedded-preview,,,Affinity\Mantra\OM - Mantra - Base 44.afdesign
Om,9,9 9 9 4 9 4,Combe,Mantra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Mantra\OM - Mantra - Base 9 (336).afdesign
Miasm Cancer,10,,Sulis,Pathology,Base 10 Rate (Sulis),,blank-template,blank-template,Affinity\Pathology (dis-ease)\Miasm Cancer.afdesign
Predisposition to Cancer,9,,Combe,Pathology,Base 9 Rate (336 - Combe),,blank-template,blank-template,Affinity\Pathology (dis-ease)\Predisposition to cacer.afdesign
Squamous Epithelioma,10,,Sulis,Pathology,Base 10 Rate (Sulis),,blank-template,blank-template,Affinity\Pathology (dis-ease)\Squamous Epithelioma.afdesign
Healthy Functioning,9,4 7 9 3 5 1,Combe,,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Physical - Constitutions\HEALTHY FUNCTIONING - Physical Constitutions -  - Base 9 (336).afdesign
Yin Field,9,2 8 2 2 8 4,Combe,Subtle Body / TC 12,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\T.C Field\T.C.12 YIN FIELD - SB  - QRP - Base 9 (336) copy 3.afdesign
Yin Field,9,2 8 2 2 8 4,Combe,Subtle Body,Base 9 Rate (336 - Combe),,,duplicate,Affinity\T.C Field\T.C.12 YIN FIELD - SB  - QRP - Base 9 (336) copy 4.afdesign
Yang Field,9,3 9 4 8 1 7,Combe,Subtle Body / TC 13,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\T.C Field\T.C.13 YANG FIELD - SB  - QRP - Base 9 (336) copy 3.afdesign
Yang Field,9,,Combe,Subtle Body / TC 13,Base 9 Rate (336 - Combe),,blank-template,blank-template,Affinity\T.C Field\T.C.13 YANG FIELD - SB  - QRP - Base 9 (336) copy 4.afdesign
