name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
Blood Pressure 200,44,17 17 39 39,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\BLOOD PRESSURE 200 - SOHAM - Base 9 (336).afdesign
Brain & Paralysis 50m,44,19 22 29 31,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\BRAIN & PARALYSIS 50M - SOHAM - copy 10.afdesign
Cancer 3x,44,1 12 16 25,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\CANCER 3X - SOHAM - Base 44  .afdesign
Chemical Poison 200,44,1 3 8 10,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\CHEMICAL POISON 200 - SOHAM - Base 9 (336).afdesign
Circulation 3x,44,7 12 37 40,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\CIRCULATION 3X - SOHAM - Base 44  .afdesign
Divine Protection,44,7 28 34 44,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\DIVINE PROTECTION- SOHAM - Base 44  copy 10.afdesign
Insomnia,44,12 22 31 35,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\INSOMNIA - SOHAM - Base 44  copy 10.afdesign
Lack of Confidence,44,35 38 40 42,Combe,Soham,Base 44 Rate (Combe),jpg-twin,,,Affinity\Soham Berkeleys Fav\LACK OF CONFIDENCE - SOHAM - Base 9 (336).afdesign
Meditation,44,5 10 21 34,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\MEDITATION - SOHAM - Base 44  copy 10.afdesign
Peace & Love Alignmen,44,8 18 28 38,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\PEACE & LOVE ALIGNMEN - SOHAM - Base 44  .afdesign
Removal All Entities,44,9 20 23 35,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\REMOVAL ALL ENTETIES - SOHAM - Base 9 (336).afdesign
Soul Cleansing,44,19 20 23 24,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\SOUL CLEANSING - SOHAM - Base 44.afdesign
Spiritual Upliftment,44,20 22 33 34,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\SPIRITUAL UPLIFTMENT  - SOHAM - Base 44  copy 10.afdesign
Stabilising,44,11 12 33 34,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Soham Berkeleys Fav\STABILISING - SOHAM - Base 44  .afdesign
Stress,44,27 32 34 37,Combe,Soham,Base 44 Rate (Combe),jpg-twin,,,Affinity\Soham Berkeleys Fav\STRESS - SOHAM - Base 9 (336).afdesign
