name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
Align,9,1 9 5 8 3 8,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\ALIGN - UPLIFT - SB - QRP - Base 9 (336).afdesign
Align Astral Body/ Physical Body,9,5 1 3 6 6 3,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\ALIGN ASTRAL BODYPHYSICAL BODY - SB - QRP - Base 9 (336).afdesign
Alignment,9,5 8 1 2 5 3,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\ALIGNMENT - UPLIFT - SB - QRP - Base 9 (336).afdesign
Allow Cosmic Love to Flow,9,4 8 3 6 7 1 2,Combe,SUBTLE BODY,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\ALLOW COSMIC LOVE TO FLOW  - SB - QRP - Base 9 (336).afdesign
Allow Love to Flow,9,4 7 1 8 2 4,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\ALLOW LOVE TO FLOW - SB - QRP - Base 9 (336).afdesign
Blessedness,44,2 3 3 4,Combe,Subtle Body / Body,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\BLESSEDNESS - BC - Base 44 .afdesign
Blessedness,9,5 4 7 9 7,Combe,Subtle Body / Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\BLESSEDNESS - BC - Base 9 (336).afdesign
Blessedness,9,5 4 7 9 7,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\BLESSEDNESS - SB - QRP - Base 9 (336).afdesign
Blockage Energy,9,6 8 1 2 3 2,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\BLOCKAGE ENERGY - SB - QRP - Base 9 (336) .afdesign
Intelligence,9,2 3 4 5 5,Combe,SUBTLE BODY/ AM3,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\INTELLEGENCE- SB AM- QRP - Base 9 (336).afdesign
